x,y,z,Bx,By,Bz
-20,-252.79,37.8,-90.87280000000001,-68.92819999999999,82.361
-60,-252.79,37.8,-113.68100000000001,-27.6088,69.59060000000001
-100,-252.79,37.8,-124.932,7.2396199999999995,60.692
-140,-252.79,37.8,-134.94899999999998,44.1996,48.2746
-180,-252.79,37.8,-137.7032,89.78620000000001,39.102
-180,-252.79,67.3,-105.7676,85.07860000000001,38.900600000000004
-140,-252.79,67.3,-105.82719999999999,49.8398,43.5238
-100,-252.79,67.3,-97.581,15.920580000000001,51.375800000000005
-60,-252.79,67.3,-83.0342,-15.47578,60.7572
-20,-252.79,67.3,-59.3464,-44.8834,73.0846
-20,-252.79,107.7,-33.6742,-18.312,61.155800000000006
-60,-252.79,107.7,-54.0826,2.4918400000000003,52.571999999999996
-100,-252.79,107.7,-67.7688,27.043,46.17020000000001
-140,-252.79,107.7,-75.008,54.1938,42.2694
-180,-252.79,107.7,-75.86319999999999,81.36439999999999,42.2768
-180,-252.79,147.2,-53.1374,79.9396,46.9342
-140,-252.79,147.2,-51.300200000000004,58.206199999999995,43.3614
-100,-252.79,147.2,-44.6858,36.7688,44.050200000000004
-60,-252.79,147.2,-33.1316,17.965079999999997,46.9226
-20,-252.79,147.2,-16.929660000000002,2.5613599999999996,51.3676
-20,-252.79,187.4,-5.1672400000000005,18.107939999999996,42.985
-60,-252.79,187.4,-17.2327,30.148400000000002,42.1446
-100,-252.79,187.4,-26.1824,45.0324,42.4014
-140,-252.79,187.4,-31.4046,61.78779999999999,44.9326
-180,-252.79,187.4,-32.3762,79.77459999999999,50.16779999999999
-180,-252.79,227.1,-13.08644,77.8724,51.666199999999996
-140,-252.79,227.1,-13.69856,64.72680000000001,44.3604
-100,-252.79,227.1,-10.30096,51.5126,39.6866
-60,-252.79,227.1,-4.029520000000001,39.3808,36.8478
-20,-252.79,227.1,4.2664599999999995,29.154600000000002,34.9948
-20,-252.79,267.4,10.94234,36.247800000000005,26.939400000000003
-60,-252.79,267.4,5.90226,45.3548,30.580999999999996
-100,-252.79,267.4,2.45132,54.996199999999995,36.0404
-140,-252.79,267.4,1.2293399999999999,65.168,42.437799999999996
-180,-252.79,267.4,3.3079400000000003,74.1592,50.3962
-180,-252.79,307.0,16.07058,69.647,46.0826
-140,-252.79,307.0,12.931400000000002,64.1748,37.5206
-100,-252.79,307.0,12.12192,56.727399999999996,29.731599999999997
-60,-252.79,307.0,13.131960000000001,48.415,23.551799999999997
-20,-252.79,307.0,15.37356,40.3112,18.837400000000002
-20,-252.79,347.3,17.6265,41.4656,12.27586
-60,-252.79,347.3,17.685499999999998,48.8238,16.79278
-100,-252.79,347.3,18.85578,55.74720000000001,23.21
-140,-252.79,347.3,21.417600000000004,61.390600000000006,30.9678
-180,-252.79,347.3,25.540799999999997,65.03439999999999,38.6736
-180,-332.79,36.8,-116.6288,87.6678,21.8568
-140,-332.79,36.8,-118.24780000000001,33.6528,23.147
-100,-332.79,36.8,-103.934,-23.172600000000003,32.4642
-60,-332.79,36.8,-74.2398,-64.6352,58.79220000000001
-20,-332.79,36.8,-41.3706,-106.93900000000001,87.14659999999999
-20,-332.79,67.5,-24.7234,-75.2636,66.6232
-60,-332.79,67.5,-61.2978,-42.4342,49.2792
-100,-332.79,67.5,-86.8884,-5.642519999999999,33.0646
-140,-332.79,67.5,-100.2648,37.7796,21.6864
-180,-332.79,67.5,-102.9298,84.11860000000001,15.602179999999999
-180,-332.79,106.9,-86.49959999999999,86.321,18.032020000000003
-140,-332.79,106.9,-79.71060000000001,46.193400000000004,24.345799999999997
-100,-332.79,106.9,-66.74459999999999,12.900680000000001,35.41760000000001
-60,-332.79,106.9,-44.6894,-13.622020000000001,45.522
-20,-332.79,106.9,-13.240879999999999,-35.988600000000005,53.334199999999996
-20,-332.79,147.6,-2.54796,-3.73154,47.6334
-60,-332.79,147.6,-28.011599999999998,11.268239999999999,46.3792
-100,-332.79,147.6,-47.430200000000006,29.264200000000002,40.8498
-140,-332.79,147.6,-60.875600000000006,55.6578,32.0868
-180,-332.79,147.6,-69.43520000000001,92.689,27.6356
-180,-332.79,186.6,-49.568400000000004,99.281,41.6284
-140,-332.79,186.6,-41.5916,67.0462,41.8408
-100,-332.79,186.6,-27.5536,45.9886,45.491800000000005
-60,-332.79,186.6,-10.108699999999999,32.4984,45.6372
-20,-332.79,186.6,9.73284,20.0406,42.1496
-20,-332.79,227.6,23.5102,37.605199999999996,31.9222
-60,-332.79,227.6,9.89812,49.053599999999996,39.96320000000001
-100,-332.79,227.6,-4.854760000000001,61.7672,46.50359999999999
-140,-332.79,227.6,-18.571600000000004,78.82060000000001,51.9116
-180,-332.79,227.6,-24.877399999999998,100.96300000000001,59.68
-180,-332.79,266.6,2.56028,100.56459999999998,70.18560000000001
-140,-332.79,266.6,6.02846,88.41799999999999,55.4408
-100,-332.79,266.6,15.38006,75.1458,38.5948
-60,-332.79,266.6,25.1886,60.9424,26.472399999999997
-20,-332.79,266.6,33.2158,47.6646,16.829879999999996
-20,-332.79,307.7,35.0482,51.9966,0.5131800000000001
-60,-332.79,307.7,32.5368,66.7724,10.700999999999999
-100,-332.79,307.7,29.343600000000002,81.69340000000001,26.8826
-140,-332.79,307.7,26.8828,93.51459999999999,48.3734
-180,-332.79,307.7,27.8476,98.0592,69.498
-180,-332.79,347.1,48.5392,92.7416,59.244600000000005
-140,-332.79,347.1,41.8942,91.2402,36.9692
-100,-332.79,347.1,36.7164,81.0028,15.722160000000002
-60,-332.79,347.1,33.245799999999996,66.8932,-0.30785999999999997
-20,-332.79,347.1,31.3336,52.39739999999999,-9.571100000000001
